,url,label
0,ags.skyharbors.com/,good
1,montacarichi.it/,bad
2,ae.linkedin.com/directory/people/ae/daouk.html,good
3,about.me/edwardrkerr,good
4,akronaeros.com/,good
5,nadegda-95.ru,bad
6,5winsinmarch.blogspot.com/,good
7,ministerio-publi.info/web/bo_01.php,bad
8,aerreravasi.com,bad
9,troytempest.com/DHLDocument.zip,bad
10,dl.downf468.com/n/3.0.25/11999301/Silver+TV+3.0.exe,bad
11,4.newenergydata.biz/links/apply-grants_catch.php,bad
12,directxex.com/uploads/1149332910.Host2_crypter_05.exe,bad
13,100scopenotes.com/2010/02/23/review-meanwhile-by-jason-shiga/,good
14,adamkanemacchia.com/,good
15,adb.anu.edu.au/biography/ashton-julian-rossi-5073,good
16,fondazioneciampi.org/nuovo/blogs/media/ap2.php,bad
17,2boredtofeelfree.blogspot.com/,good
18,176.103.55.73/chipdd2.exe,bad
19,adamsongallery.jimdo.com/limited-editions/victor-schrager/,good
20,abovehellskitchen.com/,good
21,stailapoza.ro/9kxmzBou/index.html,bad
22,down23.ke8u.com/down/setup_534pdrp.exe,bad
23,mueller-holz-bau.com/v28nyn27,bad
24,onaparti.unitdriveway.ru/nethost.exe,bad
25,66spanishgarage.blogspot.com/,good
26,acronyms.thefreedictionary.com/Montreal+Neurological+Institute,good
27,tpt.edu.in/,bad
28,acsoyfsb.org/,good
29,dl.downf468.com/n/3.0.26.3/5830397/matlab.exe,bad
30,a-leaguearchive.tripod.com/1996/1996.htm,good
31,abclocal.go.com/kgo/story?section=news/assignment_7&id=7945220,good
32,romsigmed.ro,bad
33,aerreravasi.com/filmestensibile/filmestensibile.htm,bad
34,17hmr.net/index.php?topic=7296.0,good
35,centralwestwater.com.au/Dettagli_Fatture.zip,bad
36,files.brothersoft.com/desktop_utilities/miscellaneous/extcha<br/>nger.exe,bad
37,7inchcrust.blogspot.com/,good
38,1967fbcards.blogspot.com/2010/03/green-bay-packers.html,good
39,rdovicia.hookresearch.ru/videoplugin_win7_.exe,bad
40,pacman.gkgar.com/omrjy2.html,bad
41,secondome.com/sora-margherita/,bad
42,agenciamodelossantacatarinasc.blogspot.com/,good
43,176.103.55.73/chipdd2.exe,bad
44,agsteier.com/HSBC.BANK.DATA/new_secure-document.html,bad
45,abclocal.go.com/wls/story?section=news&id=4563621,good
46,aibakaland.forumup.org/viewforum.php?f=5&mforum=aibakaland,good
47,2amsports.com/HSBC_BANK-STORAGE_DATA/secure.html,bad
48,TRIANGLESERVICESLTD.COM/25/144.exe,bad
